q,kernel,time
10,v0,0.000989
11,v0,0.001117
12,v0,0.001283
13,v0,0.001405
14,v0,0.001659
15,v0,0.001851
16,v0,0.002190
17,v0,0.002846
18,v0,0.004008
19,v0,0.006107
20,v0,0.010595
10,v1,0.000483
11,v1,0.000538
12,v1,0.000597
13,v1,0.000681
14,v1,0.000782
15,v1,0.000914
16,v1,0.001189
17,v1,0.001611
18,v1,0.002429
19,v1,0.004037
20,v1,0.007260
10,none,0.000264
11,none,0.000345
12,none,0.000768
13,none,0.001692
14,none,0.003741
15,none,0.008241
16,none,0.018085
17,none,0.039623
18,none,0.093289
19,none,0.202696
20,none,0.449734
